date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:07:46	96466/96466	---M--	200	added ('OK')	image/jpeg	etag:%22FmBHadcMj6-L3tAYcpQQ-lVCU3nO%22	http://img.91tt.cn/img/portfolio/11.jpg	C:/My%20Websites/http___91tt.cn_/img.91tt.cn/img/portfolio/11.jpg_;%20filename_=utf-8'%20'11.jpg	(from http://91tt.cn/)
22:07:46	5058/5058	---M--	200	added ('OK')	text/html	etag:%2213c2-574be5f77f23b%22	http://91tt.cn/map.html	C:/My%20Websites/http___91tt.cn_/91tt.cn/map.html	(from http://91tt.cn/)
22:07:47	92845/92845	---M--	200	added ('OK')	image/jpeg	etag:%22FgYleTsZClQEeJTlxv5QHvPC_vjX%22	http://img.91tt.cn/img/portfolio/04.jpg	C:/My%20Websites/http___91tt.cn_/img.91tt.cn/img/portfolio/04.jpg_;%20filename_=utf-8'%20'04.jpg	(from http://91tt.cn/)
22:07:47	93897/93897	---M--	200	added ('OK')	image/jpeg	etag:%22FutUWK-u8slnSEJVOjmsyKEge24S%22	http://img.91tt.cn/img/portfolio/05.jpg	C:/My%20Websites/http___91tt.cn_/img.91tt.cn/img/portfolio/05.jpg_;%20filename_=utf-8'%20'05.jpg	(from http://91tt.cn/)
22:07:47	584742/584742	---M--	200	added ('OK')	image/jpeg	etag:%22Fj7ae8V0ki-dmqtQ3yjE3QCZgQcN%22	http://img.91tt.cn/img/slider/22.jpg	C:/My%20Websites/http___91tt.cn_/img.91tt.cn/img/slider/22.jpg_;%20filename_=utf-8'%20'22.jpg	(from http://91tt.cn/)
22:07:47	90603/90603	---M--	200	added ('OK')	image/jpeg	etag:%22FreO8wDzFRBD7sCyqqco6PZsHDFu%22	http://img.91tt.cn/img/portfolio/06.jpg	C:/My%20Websites/http___91tt.cn_/img.91tt.cn/img/portfolio/06.jpg_;%20filename_=utf-8'%20'06.jpg	(from http://91tt.cn/)
22:07:47	78998/78998	---M--	200	added ('OK')	image/jpeg	etag:%22FoJfS2DKuPmgrbJ78sU1VESjmz4c%22	http://img.91tt.cn/img/portfolio/07.jpg	C:/My%20Websites/http___91tt.cn_/img.91tt.cn/img/portfolio/07.jpg_;%20filename_=utf-8'%20'07.jpg	(from http://91tt.cn/)
22:07:47	26050/26050	---M--	200	added ('OK')	image/jpeg	etag:%22Fpm0AG39LFBBImC3GxA9IpSqaN98%22	http://img.91tt.cn/img/portfolio/00.jpg	C:/My%20Websites/http___91tt.cn_/img.91tt.cn/img/portfolio/00.jpg_;%20filename_=utf-8'%20'00.jpg	(from http://91tt.cn/)
22:07:48	11184/11184	---M--	200	added ('OK')	application/javascript	etag:%222bb0-572025c80cfc0%22	http://91tt.cn/lib/venobox/venobox.min.js	C:/My%20Websites/http___91tt.cn_/91tt.cn/lib/venobox/venobox.min.js	(from http://91tt.cn/)
22:07:48	37045/37045	---M--	200	added ('OK')	application/javascript	etag:%2290b5-572025c80cfc0%22	http://91tt.cn/lib/bootstrap/js/bootstrap.min.js	C:/My%20Websites/http___91tt.cn_/91tt.cn/lib/bootstrap/js/bootstrap.min.js	(from http://91tt.cn/)
22:07:48	109752/109752	---M--	200	added ('OK')	image/jpeg	etag:%22Fv9kwBH03-MdXsDYlEVzT6OAcFwr%22	http://img.91tt.cn/img/portfolio/08.jpg	C:/My%20Websites/http___91tt.cn_/img.91tt.cn/img/portfolio/08.jpg_;%20filename_=utf-8'%20'08.jpg	(from http://91tt.cn/)
22:07:48	40401/40401	---M--	200	added ('OK')	application/javascript	etag:%229dd1-572025c80cfc0%22	http://91tt.cn/lib/owlcarousel/owl.carousel.min.js	C:/My%20Websites/http___91tt.cn_/91tt.cn/lib/owlcarousel/owl.carousel.min.js	(from http://91tt.cn/)
22:07:48	8156/8156	---M--	200	added ('OK')	application/javascript	etag:%221fdc-572025c80cfc0%22	http://91tt.cn/lib/wow/wow.min.js	C:/My%20Websites/http___91tt.cn_/91tt.cn/lib/wow/wow.min.js	(from http://91tt.cn/)
22:07:48	113374/113374	---M--	200	added ('OK')	image/jpeg	etag:%22Fll7mXBZVVREASRcacyRD7AcYza8%22	http://img.91tt.cn/img/portfolio/10.jpg	C:/My%20Websites/http___91tt.cn_/img.91tt.cn/img/portfolio/10.jpg_;%20filename_=utf-8'%20'10.jpg	(from http://91tt.cn/)
